Art des Termins;Außer Haus;Beginn;Benachrichtigung überspringen;Betreff;Dauer;Ende;Erzeugt am;Ganztägiges Ereignis;Geändert am;Ist ohne Veranstaltung;Kategorie;Klassifikation;Notizen;Ort;Titel;Titel;Typ;GGUID
;false;21.04.2026 13:30;false;Entrepreneurship Essentials MA;0,13541667;21.04.2026 16:45;02.04.2026 14:02:36;false;02.04.2026 14:02:36;false;;;;L-1.6;Entrepreneurship Essentials MA;Entrepreneurship Essentials MA;;F1DF69C321083EA8B0D64543C8FC51DB
;false;05.05.2026 13:30;false;Entrepreneurship Essentials MA;0,13541667;05.05.2026 16:45;02.04.2026 14:02:36;false;02.04.2026 14:02:36;false;;;;L-1.6;Entrepreneurship Essentials MA;Entrepreneurship Essentials MA;;68EF42E5B75530D99445D318DBC8F974
;false;19.05.2026 13:30;false;Entrepreneurship Essentials MA;0,13541667;19.05.2026 16:45;02.04.2026 14:02:36;false;02.04.2026 14:02:36;false;;;;L-1.6;Entrepreneurship Essentials MA;Entrepreneurship Essentials MA;;1E394D35EF843CEF9893F9E9E1629A04
;false;02.06.2026 13:30;false;Entrepreneurship Essentials MA;0,13541667;02.06.2026 16:45;02.04.2026 14:02:36;false;02.04.2026 14:02:36;false;;;;L-1.6;Entrepreneurship Essentials MA;Entrepreneurship Essentials MA;;7FB0D28523AA39A6B5FFA33BC704087F
;false;16.06.2026 13:30;false;Entrepreneurship Essentials MA;0,13541667;16.06.2026 16:45;02.04.2026 14:02:36;false;02.04.2026 14:02:36;false;;;;L-1.6;Entrepreneurship Essentials MA;Entrepreneurship Essentials MA;;2F8204B8E1DE32B9B50EB2F4DB900ACE
;false;30.06.2026 13:30;false;Entrepreneurship Essentials MA;0,13541667;30.06.2026 16:45;02.04.2026 14:02:36;false;02.04.2026 14:02:36;false;;;;L-1.6;Entrepreneurship Essentials MA;Entrepreneurship Essentials MA;;C6C529C01B873E45894C3F64A6BBB633
