Art des Termins;Außer Haus;Beginn;Benachrichtigung überspringen;Betreff;Dauer;Ende;Erzeugt am;Ganztägiges Ereignis;Geändert am;Ist ohne Veranstaltung;Kategorie;Klassifikation;Notizen;Ort;Titel;Titel;Typ;GGUID
;false;15.06.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;15.06.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;89A2215BB5C93F219A477D62FD4D2FB8
;false;22.06.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;22.06.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;DD8896470C223EC0B582DCD97E492CE9
;false;22.06.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;22.06.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;AD0269081E0231FA95B9FD4F4632F845
;false;29.06.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;29.06.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;49B364BE086F3D308897D362FBEE1275
;false;29.06.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;29.06.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;028D5C8B845A31A6A7E0C50AFA9F3802
;false;06.07.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;06.07.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;F318FC0487F23526A19841066EB785BF
;false;06.07.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;06.07.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;00B03A057C403E3EA8D072FC761888B9
;false;13.07.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;13.07.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;2FE9269333B3348887305313ADA525D5
;false;13.07.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;13.07.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;D871F5EFBC533522B0A8E6584EF6F7FD
;false;20.07.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;20.07.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;D2AD40FA3EFE36A0A523897A7EB5326A
;false;20.07.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;20.07.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;BFEE52FDF7E83A3384A3F7D2562D5732
