Art des Termins;Außer Haus;Beginn;Benachrichtigung überspringen;Betreff;Dauer;Ende;Erzeugt am;Ganztägiges Ereignis;Geändert am;Ist ohne Veranstaltung;Kategorie;Klassifikation;Notizen;Ort;Titel;Titel;Typ;GGUID
;false;09.04.2026 09:00;false;How to be a (Startup)-CTO;0,33333333;09.04.2026 17:00;09.04.2026 09:31:44;false;09.04.2026 09:31:44;false;;;;L-E.3;How to be a (Startup)-CTO;How to be a (Startup)-CTO;;32396B7693ED324788CD6F0694952189
;false;31.08.2026 09:00;false;How to be a (Startup)-CTO;0,37500000;31.08.2026 18:00;09.04.2026 09:31:44;false;09.04.2026 09:31:44;false;;;;L-E.3;How to be a (Startup)-CTO;How to be a (Startup)-CTO;;7B0F26404EB53549B1E71D7A96CF7E5F
;false;01.09.2026 09:00;false;How to be a (Startup)-CTO;0,37500000;01.09.2026 18:00;09.04.2026 09:31:44;false;09.04.2026 09:31:44;false;;;;L-E.3;How to be a (Startup)-CTO;How to be a (Startup)-CTO;;948B9928D2BB35F3A6C0C1B8C2DC7A4C
;false;02.09.2026 09:00;false;How to be a (Startup)-CTO;0,37500000;02.09.2026 18:00;09.04.2026 09:31:44;false;09.04.2026 09:31:44;false;;;;L-E.3;How to be a (Startup)-CTO;How to be a (Startup)-CTO;;E05EEB1EDA1D31159AD2DAB41DDC7182
